"TSID","MSRP","Seating","Doors","Width","Height","Length","Wheelbase","Front_Head_Rm_in","Front_leg_room_IN","Front_shoulder_room_IN","Rear_head_room_IN","Rear leg room_IN","Rear shoulder room_IN","Fuel_Type","Engine_Type_Fuel","Fuel_Tank_Capacity_gal","Range_City_miles","Range_Hwy_miles","Mileage_City","Mileage_Hwy","Pass_Vol","Curb_weight","Cargo_Capacity_CUFT","Drive_Type","Transmission","Engine_Size","CAM_Type","Engine_Type","Cylinders","Engine_Valves","Engine_Torque_FTLBS","Engine_Torque_RPM","Horsepower","Horsepower (RPM)","Turning_circleFT","SmallOLFront","ModerateOLFront","Side","Roof","HeadRestraintsSeats","FrontCrashOPrev","Customer_Rating","Fuel","Insurance","Financing","State_Fees","Maintenance","Repairs","Depreciation"
136,"32490","5","4",70.00,57.20,182.80,104.40,38.20,41.20,55.20,37.10,38.10,53.60,"Premium","Hybrid",11.90,499.80,571.20,42,48,105.40,3312,11.30,"FWD","7-speed automatic",1.40,"DOHC","Inline","4","16","184","1000","170","5000",36.40,"G","G","G","G","G","BASIC",8.30,"8447.4","2924.1","1949.4","1949.4","1624.5","1299.6","14295.6"
158,"26485","5","4",70.70,58.10,181.00,105.70,39.30,42.30,54.80,37.90,35.40,53.90,"Diesel","Diesel",15.60,421.20,717.60,27,46,107.90,3471,13.30,"FWD","6-speed automatic",2.00,"DOHC","Inline","4","16","258","2000","148","4000",35.70,"M","G","G","G","G","NOT AVAILABLE",8.40,"6886.1","2383.65","1589.1","1589.1","1324.25","1059.4","11653.4"
160,"22460","5","4",70.00,57.20,183.30,104.40,37.00,41.20,55.20,37.00,38.10,53.60,"Diesel","Diesel",14.50,449.50,667.00,31,46,108.10,3241,15.70,"FWD","6-speed manual",2.00,"DOHC","Inline","4","20","236","1750","150","3500",36.40,"G","G","G","G","G","BASIC",8.30,"5839.6","2021.4","1347.6","1347.6","1123","898.4","9882.4"
175,"23560","5","4",70.00,57.20,183.30,104.40,37.00,41.20,55.20,37.00,38.10,53.60,"Diesel","Diesel",14.50,449.50,652.50,31,45,108.10,3296,15.70,"FWD","6-speed automatic",2.00,"DOHC","Inline","4","20","236","1750","150","3500",36.40,"G","G","G","G","G","BASIC",8.30,"6125.6","2120.4","1413.6","1413.6","1178","942.4","10366.4"
231,"36815","5","4",72.20,58.50,191.60,110.40,38.30,42.40,56.90,37.80,39.10,57.00,"Diesel","Diesel",18.50,555.00,814.00,30,44,117.90,3408,15.90,"FWD","6-speed manual",2.00,"DOHC","Inline","4","16","236","1750","150","3500",36.40,"A","G","G","G","G","NOT AVAILABLE",8.60,"9571.9","3313.35","2208.9","2208.9","1840.75","1472.6","16198.6"
260,"14930","5","4",65.60,59.40,148.80,96.50,39.10,41.70,51.70,37.30,34.00,51.00,"Regular","Gas",9.20,340.40,404.80,37,44,103.30,2029,17.20,"FWD","CVT",1.20,"DOHC","Inline","3","12","74","4000","74","6000",30.20,"P","G","G","G","G","NOT AVAILABLE",9.40,"3881.8","1343.7","895.8","895.8","746.5","597.2","6569.2"
331,"19900","5","4",69.90,57.30,182.60,106.30,38.30,42.30,54.80,37.10,41.40,54.80,"Regular","Gas",13.20,396.00,554.40,30,42,110.50,2855,13.00,"FWD","CVT",1.80,"DOHC","Inline","4","16","126","4000","140","6100",35.60,"M","G","G","G","G","NOT AVAILABLE",8.20,"5174","1791","1194","1194","995","796","8756"
354,"29945","5","4",72.20,58.50,191.60,110.40,38.30,42.40,56.90,37.80,39.10,57.00,"Diesel","Diesel",18.50,555.00,777.00,30,42,117.90,3497,15.90,"FWD","6-speed automatic",2.00,"DOHC","Inline","4","16","236","1750","150","3500",36.40,"A","G","G","G","G","NOT AVAILABLE",8.60,"7785.7","2695.05","1796.7","1796.7","1497.25","1197.8","13175.8"
380,"13830","5","4",65.60,59.40,148.80,96.50,39.10,41.70,51.70,37.30,34.00,51.00,"Regular","Gas",9.20,312.80,386.40,34,42,103.30,1973,17.20,"FWD","5-speed manual",1.20,"DOHC","Inline","3","12","74","4000","74","6000",30.20,"P","G","G","G","G","NOT AVAILABLE",9.40,"3595.8","1244.7","829.8","829.8","691.5","553.2","6085.2"
391,"21490","5","4",72.00,57.70,183.90,106.40,38.60,42.20,58.20,37.00,35.30,56.10,"Regular","Gas",13.20,369.60,541.20,28,41,110.30,3191,13.10,"FWD","6-speed manual",1.40,"SOHC","Inline","4","16","184","2500","160","5500",36.50,"A","G","G","G","G","NOT AVAILABLE",8.20,"5587.4","1934.1","1289.4","1289.4","1074.5","859.6","9455.6"
